# patch_no npixels trigger_trace_idx fadc_addr trigger_addr pdp_addr sector_no patch_x patch_y patch_q patch_r pixel_0 pixel_1 pixel_2 neighbours_0 neighbours_1 neighbours_2 neighbours_3 neighbours_4 neighbours_5 
0x354 3 20 0x35 0x30 0x38 0 50.000000 779.422863 10.333333 7.333333 0x383 0x388 0x38a 0x253 0x350 0x257 0x355 0x360 0x361 
0x355 3 20 0x35 0x30 0x38 0 -25.000000 822.724134 9.333333 9.333333 0x380 0x381 0x382 0x350 0x351 0x354 0x356 0x361 0x362 
0x352 3 20 0x35 0x30 0x39 0 -175.000000 822.724134 6.333333 12.333333 0x397 0x399 0x39b 0x345 0x346 0x351 0x353 0x356 0x357 
0x353 3 20 0x35 0x30 0x39 0 -250.000000 866.025404 5.333333 14.333333 0x394 0x395 0x396 0x346 0x347 0x352 0x450 0x357 0x454 
0x356 3 20 0x35 0x30 0x39 0 -100.000000 866.025404 8.333333 11.333333 0x393 0x398 0x39a 0x351 0x352 0x355 0x357 0x362 0x363 
0x357 3 20 0x35 0x30 0x39 0 -175.000000 909.326674 7.333333 13.333333 0x390 0x391 0x392 0x352 0x353 0x356 0x454 0x363 0x460 
0x360 3 21 0x36 0x30 0x3a 0 125.000000 822.724134 12.333333 6.333333 0x3a7 0x3a9 0x3ab 0x257 0x354 0x263 0x361 0x364 0x365 
0x361 3 21 0x36 0x30 0x3a 0 50.000000 866.025404 11.333333 8.333333 0x3a4 0x3a5 0x3a6 0x354 0x355 0x360 0x362 0x365 0x366 
0x364 3 21 0x36 0x30 0x3a 0 200.000000 866.025404 14.333333 5.333333 0x3a3 0x3a8 0x3aa 0x263 0x360 0x267 0x365 0x370 0x371 
0x365 3 21 0x36 0x30 0x3a 0 125.000000 909.326674 13.333333 7.333333 0x3a0 0x3a1 0x3a2 0x360 0x361 0x364 0x366 0x371 0x372 
0x362 3 21 0x36 0x30 0x3b 0 -25.000000 909.326674 10.333333 10.333333 0x3b7 0x3b9 0x3bb 0x355 0x356 0x361 0x363 0x366 0x367 
0x363 3 21 0x36 0x30 0x3b 0 -100.000000 952.627944 9.333333 12.333333 0x3b4 0x3b5 0x3b6 0x356 0x357 0x362 0x460 0x367 0x464 
0x366 3 21 0x36 0x30 0x3b 0 50.000000 952.627944 12.333333 9.333333 0x3b3 0x3b8 0x3ba 0x361 0x362 0x365 0x367 0x372 0x373 
0x367 3 21 0x36 0x30 0x3b 0 -25.000000 995.929214 11.333333 11.333333 0x3b0 0x3b1 0x3b2 0x362 0x363 0x366 0x464 0x373 0x470 
0x370 3 22 0x37 0x30 0x3c 0 275.000000 909.326674 16.333333 4.333333 0x3c7 0x3c9 0x3cb 0x267 0x364 0x273 0x371 0x374 0x375 
0x371 3 22 0x37 0x30 0x3c 0 200.000000 952.627944 15.333333 6.333333 0x3c4 0x3c5 0x3c6 0x364 0x365 0x370 0x372 0x375 0x376 
